requested_time,route,direction,stop_name,eta,delayed
1454248500,72,Eastbound,North Ave & California,26.0,0
1454248560,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454249640,72,Eastbound,North Ave & California,26.0 to 31.0,0
1454249640,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454250720,72,Eastbound,North Ave & California,16.0 to 21.0,0
1454250780,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454251920,72,Eastbound,North Ave & California,21.0 to 26.0,0
1454251980,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454253000,72,Eastbound,North Ave & California,26.0,0
1454253000,72,Eastbound,North Ave & California,11.0,0
1454254200,72,Eastbound,North Ave & California,16.0,0
1454254440,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454254980,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454256000,72,Eastbound,North Ave & California,16.0,0
1454256840,72,Eastbound,North Ave & California,26.0 to 31.0,0
1454256180,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454256900,72,Eastbound,North Ave & California,16.0,0
1454256960,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454258160,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454258700,72,Eastbound,North Ave & California,16.0,0
1454258700,72,Eastbound,North Ave & California,1.0,0
1454259600,72,Eastbound,North Ave & California,16.0,0
1454259780,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454260380,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454261160,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454262240,72,Eastbound,North Ave & California,16.0,0
1454262900,72,Eastbound,North Ave & California,11.0,0
1454331660,72,Eastbound,North Ave & California,16.0 to 21.0,0
1454331780,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454332200,72,Eastbound,North Ave & California,11.0,0
1454332680,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454332920,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454333820,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454334360,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454334780,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454335440,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454335560,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454336460,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454336460,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454337120,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454337120,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454338140,72,Eastbound,North Ave & California,6.0,0
1454338140,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454339280,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454339760,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454341140,72,Eastbound,North Ave & California,6.0 to 11.0,0
1454341500,72,Eastbound,North Ave & California,1.0,0
1454343120,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454343540,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454344680,72,Eastbound,North Ave & California,21.0 to 26.0,0
1454345160,72,Eastbound,North Ave & California,16.0 to 21.0,0
1454345160,72,Eastbound,North Ave & California,16.0 to 21.0,0
1454345280,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454345340,72,Eastbound,North Ave & California,1.0 to 6.0,0
1454346720,72,Eastbound,North Ave & California,11.0 to 16.0,0
1454347260,72,Eastbound,North Ave & California,6.0 to 11.0,0
