requested_time,route,direction,stop_name,eta,delayed
1454333745,Blue,5,Damen,5.5 to 10.0,0
1454334109,Blue,5,Damen,10.0 to 14.5,0
1454334235,Blue,5,Damen,10.0 to 14.5,0
1454334476,Blue,5,Damen,14.5 to 19.0,0
1454334518,Blue,5,Damen,1.0 to 5.5,0
1454334819,Blue,5,Damen,5.5 to 10.0,0
1454334989,Blue,5,Damen,10.0 to 14.5,0
1454335179,Blue,5,Damen,14.5 to 19.0,0
1454335358,Blue,5,Damen,14.5 to 19.0,0
1454335295,Blue,5,Damen,1.0 to 5.5,0
1454335532,Blue,5,Damen,5.5 to 10.0,0
1454336971,Blue,5,Damen,1.0,0
1454337147,Blue,5,Damen,1.0 to 5.5,0
1454337213,Blue,5,Damen,1.0 to 5.5,0
1454337387,Blue,5,Damen,5.5 to 10.0,0
1454338105,Blue,5,Damen,1.0 to 5.5,0
1454338325,Blue,5,Damen,5.5 to 10.0,0
1454338837,Blue,5,Damen,14.5 to 19.0,0
1454338886,Blue,5,Damen,1.0 to 5.5,0
1454339186,Blue,5,Damen,5.5 to 10.0,0
1454339387,Blue,5,Damen,10.0,0
1454339697,Blue,5,Damen,14.5 to 19.0,0
1454340191,Blue,5,Damen,5.5 to 10.0,0
1454340456,Blue,5,Damen,10.0 to 14.5,0
1454340818,Blue,5,Damen,19.0,0
1454340822,Blue,5,Damen,1.0 to 5.5,0
1454340925,Blue,5,Damen,5.5 to 10.0,0
1454341668,Blue,5,Damen,14.5 to 19.0,0
1454341833,Blue,5,Damen,5.5 to 10.0,0
1454342011,Blue,5,Damen,5.5 to 10.0,0
1454342551,Blue,5,Damen,14.5 to 19.0,0
1454342766,Blue,5,Damen,5.5 to 10.0,0
1454343143,Blue,5,Damen,10.0 to 14.5,0
1454343836,Blue,5,Damen,5.5 to 10.0,0
1454344258,Blue,5,Damen,14.5 to 19.0,0
1454344274,Blue,5,Damen,1.0 to 5.5,0
1454345136,Blue,5,Damen,14.5 to 19.0,0
1454345370,Blue,5,Damen,1.0 to 5.5,0
1454345556,Blue,5,Damen,5.5 to 10.0,0
1454346209,Blue,5,Damen,19.0,0
1454346383,Blue,5,Damen,5.5 to 10.0,0
1454346760,Blue,5,Damen,10.0 to 14.5,0
1454347350,Blue,5,Damen,5.5 to 10.0,0
1454347651,Blue,5,Damen,10.0 to 14.5,0
1454348180,Blue,5,Damen,5.5 to 10.0,0
