utc_timestamp,date_string,prediction,california_train,weather,feels_like,tweet,amen_train,uber_surging,uber_eta,72_bus,52_bus
1454075106,2016-01-29 07:45,2,13.0 to 16.0,Partly Cloudy,18.0 to 22.8333333333,0,13.5 to 17.6666666667,1.0 to 1.15,5.0 to 6.5,6.0 to 11.0,11.0 to 16.0
1454076001,2016-01-29 08:00,1,13.0 to 16.0,Partly Cloudy,18.0 to 22.8333333333,0,1.0 to 5.16666666667,1.15 to 1.3,2.0 to 3.5,1.0 to 6.0,1.0 to 6.0
1454076902,2016-01-29 08:15,2,13.0 to 16.0,Partly Cloudy,18.0 to 22.8333333333,0,1.0 to 5.16666666667,1.15 to 1.3,2.0 to 3.5,1.0 to 6.0,6.0 to 11.0
1454077803,2016-01-29 08:30,2,13.0 to 16.0,Partly Cloudy,18.0 to 22.8333333333,0,1.0 to 5.16666666667,1.15 to 1.3,2.0 to 3.5,6.0 to 11.0,6.0 to 11.0
1454078704,2016-01-29 08:45,2,13.0 to 16.0,Partly Cloudy,18.0 to 22.8333333333,0,1.0 to 5.16666666667,1.15 to 1.3,2.0 to 3.5,1.0 to 6.0,11.0 to 16.0
1454079601,2016-01-29 09:00,2,1.0 to 4.0,Partly Cloudy,18.0 to 22.8333333333,0,13.5 to 17.6666666667,1.15 to 1.3,9.5 to 11.0,1.0 to 6.0,6.0 to 11.0
1454080502,2016-01-29 09:15,1,1.0 to 4.0,Partly Cloudy,18.0 to 22.8333333333,0,1.0 to 5.16666666667,1.15 to 1.3,9.5 to 11.0,1.0 to 6.0,1.0 to 6.0
1454081403,2016-01-29 09:30,1,13.0 to 16.0,Partly Cloudy,18.0 to 22.8333333333,0,9.33333333333 to 13.5,1.15 to 1.3,9.5 to 11.0,6.0 to 11.0,6.0 to 11.0
1454082304,2016-01-29 09:45,2,13.0 to 16.0,Partly Cloudy,18.0 to 22.8333333333,0,9.33333333333 to 13.5,1.15 to 1.3,9.5 to 11.0,1.0 to 6.0,16.0 to 21.0
1454083201,2016-01-29 10:00,3,13.0 to 16.0,Partly Cloudy,18.0 to 22.8333333333,0,9.33333333333 to 13.5,1.0 to 1.15,3.5 to 5.0,6.0 to 11.0,16.0 to 21.0
