'distance_to_stop', 'rt', 'vehicle_id', 'prdtm', 'tmstmp', 'rtdir', 'stpnm'
605,72,8156,20160128 15:01,20160128 14:59,Westbound,North Ave & Damen
1491,72,1983,20160128 15:02,20160128 14:59,Eastbound,North Ave & California
3875,72,8108,20160128 15:07,20160128 14:59,Westbound,North Ave & Damen
538,52,1433,20160128 15:00,20160128 14:59,Northbound,California & Le Moyne
5119,52,1188,20160128 15:06,20160128 14:59,Southbound,California & Milwaukee (Blue Line)
11793,52,1449,20160128 15:14,20160128 14:59,Northbound,California & Le Moyne
2385,72,1215,20160128 15:19,20160128 15:14,Westbound,North Ave & Damen
5935,72,8146,20160128 15:22,20160128 15:14,Eastbound,North Ave & California
9235,72,2015,20160128 15:26,20160128 15:14,Eastbound,North Ave & California
4521,52,1129,20160128 15:21,20160128 15:14,Southbound,California & Milwaukee (Blue Line)
12076,52,1235,20160128 15:29,20160128 15:13,Northbound,California & Le Moyne
9761,52,1648,20160128 15:29,20160128 15:15,Southbound,California & Milwaukee (Blue Line)
4736,72,1061,20160128 15:38,20160128 15:29,Westbound,North Ave & Damen
6440,72,2008,20160128 15:42,20160128 15:29,Westbound,North Ave & Damen
10117,72,1420,20160128 15:43,20160128 15:29,Eastbound,North Ave & California
671,52,1235,20160128 15:30,20160128 15:29,Northbound,California & Le Moyne
1226,52,1648,20160128 15:32,20160128 15:30,Southbound,California & Milwaukee (Blue Line)
6371,52,1203,20160128 15:38,20160128 15:29,Southbound,California & Milwaukee (Blue Line)
301,72,8162,20160128 15:45,20160128 15:44,Eastbound,North Ave & California
1212,72,1420,20160128 15:46,20160128 15:44,Eastbound,North Ave & California
2395,72,8141,20160128 15:50,20160128 15:44,Westbound,North Ave & Damen
3367,52,1433,20160128 15:49,20160128 15:44,Southbound,California & Milwaukee (Blue Line)
7812,52,1716,20160128 15:54,20160128 15:44,Northbound,California & Le Moyne
9417,52,1839,20160128 15:57,20160128 15:44,Northbound,California & Le Moyne
364,72,1007,20160128 16:00,20160128 15:59,Eastbound,North Ave & California
601,72,1983,20160128 16:00,20160128 15:59,Westbound,North Ave & Damen
2827,72,1064,20160128 16:03,20160128 15:59,Eastbound,North Ave & California
4039,52,1449,20160128 16:05,20160128 15:59,Southbound,California & Milwaukee (Blue Line)
9369,52,1235,20160128 16:13,20160128 15:59,Southbound,California & Milwaukee (Blue Line)
10463,52,1622,20160128 16:14,20160128 15:59,Northbound,California & Le Moyne
1315,72,8146,20160128 16:17,20160128 16:14,Westbound,North Ave & Damen
4608,72,1949,20160128 16:21,20160128 16:14,Eastbound,North Ave & California
6955,72,2015,20160128 16:28,20160128 16:14,Westbound,North Ave & Damen
1677,52,1715,20160128 16:16,20160128 16:14,Northbound,California & Le Moyne
2570,52,1235,20160128 16:17,20160128 16:13,Southbound,California & Milwaukee (Blue Line)
6171,52,1629,20160128 16:23,20160128 16:14,Southbound,California & Milwaukee (Blue Line)
260,72,8162,20160128 16:31,20160128 16:29,Westbound,North Ave & Damen
8194,72,8156,20160128 16:39,20160128 16:28,Eastbound,North Ave & California
8443,72,2027,20160128 16:41,20160128 16:29,Eastbound,North Ave & California
3322,52,1716,20160128 16:35,20160128 16:29,Southbound,California & Milwaukee (Blue Line)
11437,52,1714,20160128 16:44,20160128 16:29,Northbound,California & Le Moyne
9937,52,1839,20160128 16:45,20160128 16:29,Southbound,California & Milwaukee (Blue Line)
3764,72,8106,20160128 16:51,20160128 16:43,Westbound,North Ave & Damen
8507,72,8108,20160128 16:55,20160128 16:44,Eastbound,North Ave & California
6920,72,1007,20160128 16:58,20160128 16:44,Westbound,North Ave & Damen
899,52,1839,20160128 16:46,20160128 16:44,Southbound,California & Milwaukee (Blue Line)
1697,52,1714,20160128 16:47,20160128 16:44,Northbound,California & Le Moyne
3547,52,1443,20160128 16:50,20160128 16:45,Northbound,California & Le Moyne
1215,72,1215,20160128 17:01,20160128 16:59,Eastbound,North Ave & California
3532,72,1064,20160128 17:06,20160128 16:59,Westbound,North Ave & Damen
3846,72,1162,20160128 17:07,20160128 16:59,Westbound,North Ave & Damen
3563,52,1715,20160128 17:05,20160128 16:59,Southbound,California & Milwaukee (Blue Line)
12789,52,1206,20160128 17:17,20160128 16:59,Northbound,California & Le Moyne
16297,52,1714,20160128 17:21,20160128 16:59,Southbound,California & Milwaukee (Blue Line)
144,72,1991,20160128 17:15,20160128 17:14,Westbound,North Ave & Damen
2753,72,1061,20160128 17:18,20160128 17:14,Eastbound,North Ave & California
3853,72,1949,20160128 17:22,20160128 17:14,Westbound,North Ave & Damen
4464,52,1206,20160128 17:20,20160128 17:14,Northbound,California & Le Moyne
6504,52,1714,20160128 17:25,20160128 17:14,Southbound,California & Milwaukee (Blue Line)
8315,52,1840,20160128 17:26,20160128 17:14,Northbound,California & Le Moyne
5378,72,1983,20160128 17:36,20160128 17:29,Eastbound,North Ave & California
6223,72,8156,20160128 17:41,20160128 17:29,Westbound,North Ave & Damen
6976,72,2027,20160128 17:43,20160128 17:29,Westbound,North Ave & Damen
1972,52,1714,20160128 17:33,20160128 17:29,Southbound,California & Milwaukee (Blue Line)
3323,52,1380,20160128 17:34,20160128 17:29,Northbound,California & Le Moyne
3995,52,1443,20160128 17:36,20160128 17:29,Southbound,California & Milwaukee (Blue Line)
2682,72,1932,20160128 17:48,20160128 17:44,Eastbound,North Ave & California
8008,72,8146,20160128 17:54,20160128 17:44,Eastbound,North Ave & California
6299,72,8108,20160128 17:56,20160128 17:44,Westbound,North Ave & Damen
2559,52,1638,20160128 17:48,20160128 17:44,Northbound,California & Le Moyne
3953,52,1696,20160128 17:50,20160128 17:44,Southbound,California & Milwaukee (Blue Line)
12627,52,1188,20160128 18:01,20160128 17:44,Northbound,California & Le Moyne
1857,72,1215,20160128 18:03,20160128 17:59,Westbound,North Ave & Damen
4975,72,8105,20160128 18:09,20160128 17:59,Westbound,North Ave & Damen
9236,72,2015,20160128 18:11,20160128 17:59,Eastbound,North Ave & California
1844,52,1188,20160128 18:02,20160128 17:59,Northbound,California & Le Moyne
8462,52,1206,20160128 18:12,20160128 17:59,Southbound,California & Milwaukee (Blue Line)
8640,52,1840,20160128 18:12,20160128 17:58,Southbound,California & Milwaukee (Blue Line)
913,72,1061,20160128 18:16,20160128 18:14,Westbound,North Ave & Damen
7702,72,1420,20160128 18:24,20160128 18:14,Eastbound,North Ave & California
7787,72,2008,20160128 18:29,20160128 18:14,Westbound,North Ave & Damen
8620,52,1380,20160128 18:27,20160128 18:14,Southbound,California & Milwaukee (Blue Line)
14564,52,1433,20160128 18:33,20160128 18:14,Northbound,California & Le Moyne
9886,52,1638,20160128 18:34,20160128 18:14,Southbound,California & Milwaukee (Blue Line)
2382,72,1007,20160128 18:32,20160128 18:29,Eastbound,North Ave & California
4421,72,1983,20160128 18:38,20160128 18:29,Westbound,North Ave & Damen
12876,72,1064,20160128 18:46,20160128 18:29,Eastbound,North Ave & California
3545,52,1433,20160128 18:34,20160128 18:29,Northbound,California & Le Moyne
5855,52,1638,20160128 18:38,20160128 18:29,Southbound,California & Milwaukee (Blue Line)
9826,52,1188,20160128 18:42,20160128 18:28,Southbound,California & Milwaukee (Blue Line)
359,72,1064,20160128 18:45,20160128 18:44,Eastbound,North Ave & California
225,72,1932,20160128 18:46,20160128 18:44,Westbound,North Ave & Damen
9255,72,1991,20160128 18:56,20160128 18:44,Eastbound,North Ave & California
4397,52,1449,20160128 18:50,20160128 18:44,Northbound,California & Le Moyne
